,ground truth outcome
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0008_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0029_img,True
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0015_img,True
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0012_img,False
pilot_dominoes_1mid_J025R45_boxroom_0005_img,True
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0017_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0013_img,False
pilot_dominoes_4mid_boxroom_2_0000_img,True
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0012_img,True
pilot_dominoes_4mid_boxroom_0006_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0017_img,False
pilot_dominoes_2mid_J025R30_tdwroom_0003_img,False
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0010_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0007_img,False
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0006_img,True
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0006_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0011_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0022_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0001_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0008_img,False
pilot_dominoes_4midRM1_boxroom_0002_img,False
pilot_dominoes_2mid_J025R30_tdwroom_0016_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0007_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0019_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0028_img,False
pilot_dominoes_1mid_J025R45_boxroom_0022_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0000_img,False
pilot_dominoes_4mid_boxroom_2_0003_img,True
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0027_img,False
pilot_dominoes_4midRM1_boxroom_2_0000_img,False
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0013_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0006_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0026_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0020_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0021_img,True
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0008_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0025_img,True
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0007_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0012_img,True
pilot_dominoes_1mid_J025R45_boxroom_0010_img,False
pilot_dominoes_4midRM1_boxroom_0003_img,False
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0023_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0015_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0024_img,False
pilot_dominoes_1mid_J025R45_boxroom_0023_img,True
pilot_dominoes_4midRM1_tdwroom_0001_img,False
pilot_dominoes_1mid_J025R45_boxroom_0003_img,True
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0015_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0016_img,False
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0011_img,True
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0022_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0009_img,False
pilot_dominoes_4midRM1_boxroom_0001_img,False
pilot_dominoes_2mid_J025R30_tdwroom_0018_img,True
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0004_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0029_img,True
pilot_dominoes_4midRM1_tdwroom_0004_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0026_img,True
pilot_dominoes_1mid_J025R45_boxroom_0004_img,True
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0007_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0003_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0008_img,False
pilot_dominoes_2mid_J025R30_tdwroom_0019_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0028_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0009_img,False
pilot_dominoes_4mid_boxroom_0001_img,True
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0017_img,False
pilot_dominoes_1mid_J025R45_boxroom_0019_img,True
pilot_dominoes_4midRM1_tdwroom_0006_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0023_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0012_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0014_img,True
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0005_img,True
pilot_dominoes_1mid_J025R45_boxroom_0029_img,True
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0010_img,True
pilot_dominoes_1mid_J025R45_boxroom_0020_img,True
pilot_dominoes_4mid_tdwroom_0001_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0008_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0006_img,True
pilot_dominoes_1mid_J025R45_boxroom_0025_img,True
pilot_dominoes_1mid_J025R45_boxroom_0026_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0014_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0005_img,False
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0028_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0007_img,False
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0029_img,True
pilot_dominoes_4mid_tdwroom_0002_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0005_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0000_img,True
pilot_it2_collision_tiny_ball_tdw_2_dis_2_occ_0003_img,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0000_img,True
pilot_it2_collision_yeet_box_1_dis_1_occ_0006_img,True
pilot_it2_collision_yeet_tdw_2_dis_2_occ_0007_img,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0004_img,False
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0004_img,True
pilot_it2_collision_yeet_box_0000_img,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0008_img,False
pilot_it2_collision_simple_box_2_dis_2_occ_0005_img,True
pilot_it2_collision_tiny_ball_box_0004_img,True
pilot_it2_collision_tiny_ball_tdw_2_dis_2_occ_0004_img,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0009_img,True
pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ_0000_img,True
pilot_it2_collision_yeet_box_2_dis_2_occ_0007_img,False
pilot_it2_collision_yeet_tdw_2_dis_2_occ_0003_img,True
pilot_it2_collision_simple_tdw_2_dis_2_occ_0006_img,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0009_img,False
pilot_it2_collision_tiny_ball_box_2_dis_2_occ_0008_img,False
pilot_it2_collision_yeet_box_1_dis_1_occ_0000_img,True
pilot_it2_collision_tiny_ball_box_1_dis_1_occ_0007_img,False
pilot_it2_collision_yeet_box_2_dis_2_occ_0000_img,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0007_img,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0003_img,True
pilot_it2_collision_yeet_box_2_dis_2_occ_0001_img,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0008_img,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0007_img,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0009_img,False
pilot_it2_collision_simple_box_1_dis_1_occ_0001_img,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0007_img,True
pilot_it2_collision_non-sphere_box_0001_img,True
pilot_it2_collision_non-sphere_box_0007_img,False
pilot_it2_collision_yeet_box_1_dis_1_occ_0008_img,True
pilot_it2_collision_yeet_box_0001_img,False
pilot_it2_collision_yeet_box_0002_img,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0000_img,False
pilot_it2_collision_simple_tdw_2_dis_2_occ_0001_img,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0001_img,False
pilot_it2_collision_yeet_tdw_1_dis_1_occ_0001_img,False
pilot_it2_collision_simple_box_1_dis_1_occ_0006_img,True
pilot_it2_collision_yeet_box_0004_img,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0008_img,False
pilot_it2_collision_yeet_tdw_2_dis_2_occ_0000_img,False
pilot_it2_collision_tiny_ball_box_1_dis_1_occ_0002_img,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0004_img,True
pilot_it2_collision_tiny_ball_box_0005_img,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0004_img,False
pilot_it2_collision_tiny_ball_tdw_2_dis_2_occ_0008_img,True
pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0000_img,False
pilot_it2_collision_yeet_tdw_1_dis_1_occ_0006_img,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0002_img,False
pilot_it2_collision_assorted_targets_box_0009_img,True
pilot_it2_collision_simple_box_2_dis_2_occ_0004_img,False
pilot_it2_collision_tiny_ball_box_0006_img,True
pilot_it2_collision_simple_tdw_2_dis_2_occ_0003_img,True
pilot_it2_collision_tiny_ball_box_0009_img,False
pilot_it2_collision_tiny_ball_box_1_dis_1_occ_0006_img,True
pilot_it2_collision_yeet_box_1_dis_1_occ_0003_img,False
pilot_it2_collision_assorted_targets_box_0001_img,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0004_img,False
pilot_it2_collision_yeet_box_1_dis_1_occ_0001_img,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0008_img,True
pilot_it2_collision_yeet_box_1_dis_1_occ_0009_img,True
pilot_it2_collision_tiny_ball_box_1_dis_1_occ_0003_img,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0005_img,True
pilot_it2_collision_yeet_tdw_1_dis_1_occ_0003_img,False
pilot_it2_collision_yeet_box_0007_img,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0000_img,False
pilot_it2_collision_tiny_ball_box_1_dis_1_occ_0005_img,True
pilot_it2_collision_non-sphere_box_0005_img,True
pilot_it2_collision_non-sphere_box_0008_img,True
pilot_it2_collision_simple_tdw_2_dis_2_occ_0000_img,True
pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ_0003_img,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0008_img,False
pilot_it2_collision_tiny_ball_box_0000_img,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0000_img,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0004_img,False
pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0004_img,False
pilot_it2_collision_tiny_ball_box_1_dis_1_occ_0001_img,True
pilot_it2_collision_yeet_box_1_dis_1_occ_0002_img,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0002_img,True
pilot_it2_collision_simple_box_2_dis_2_occ_0008_img,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0006_img,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0003_img,True
pilot_it2_collision_tiny_ball_tdw_2_dis_2_occ_0006_img,True
pilot_it2_collision_tiny_ball_tdw_2_dis_2_occ_0005_img,True
pilot_it2_collision_tiny_ball_box_2_dis_2_occ_0002_img,True
pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ_0001_img,True
pilot_it2_collision_simple_box_2_dis_2_occ_0009_img,False
pilot_it2_collision_non-sphere_box_0006_img,True
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0002_img,True
pilot_it2_collision_tiny_ball_box_2_dis_2_occ_0005_img,False
pilot_it2_collision_yeet_box_0005_img,True
pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0002_img,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0003_img,False
pilot_it2_collision_yeet_box_1_dis_1_occ_0005_img,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0003_img,False
pilot_it2_collision_yeet_box_1_dis_1_occ_0004_img,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0006_img,True
pilot_it2_collision_simple_box_1_dis_1_occ_0004_img,False
pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0006_img,False
pilot_it2_collision_tiny_ball_box_0002_img,False
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0008_img,False
pilot_it2_collision_simple_box_1_dis_1_occ_0003_img,False
pilot_it2_collision_non-sphere_box_0004_img,False
pilot_it2_collision_tiny_ball_box_2_dis_2_occ_0006_img,True
pilot_it2_collision_tiny_ball_box_1_dis_1_occ_0000_img,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0009_img,True
pilot_it2_collision_simple_box_2_dis_2_occ_0002_img,True
pilot_it2_collision_tiny_ball_box_2_dis_2_occ_0007_img,True
pilot_it2_collision_tiny_ball_box_0001_img,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0000_img,False
pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0008_img,False
pilot_it2_collision_simple_tdw_2_dis_2_occ_0008_img,False
pilot_it2_collision_simple_tdw_2_dis_2_occ_0005_img,False
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0007_img,True
pilot_it2_collision_yeet_box_2_dis_2_occ_0002_img,False
pilot_it2_collision_tiny_ball_box_1_dis_1_occ_0004_img,True
pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ_0005_img,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0002_img,True
pilot_it2_collision_simple_tdw_2_dis_2_occ_0002_img,True
pilot_it2_collision_tiny_ball_tdw_2_dis_2_occ_0009_img,False
pilot_it2_collision_yeet_tdw_2_dis_2_occ_0005_img,True
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0001_img,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0002_img,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0007_img,True
pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ_0002_img,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0001_img,True
pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ_0008_img,True
pilot_it2_collision_yeet_box_2_dis_2_occ_0006_img,False
pilot_it2_collision_yeet_box_2_dis_2_occ_0004_img,False
pilot_it2_collision_yeet_box_2_dis_2_occ_0009_img,False
pilot_it2_collision_yeet_box_1_dis_1_occ_0007_img,False
pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0001_img,True
pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ_0007_img,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0006_img,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0005_img,True
pilot_it2_collision_yeet_box_2_dis_2_occ_0003_img,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0009_img,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0009_img,True
pilot_it2_collision_yeet_tdw_2_dis_2_occ_0004_img,False
pilot_it2_collision_yeet_tdw_1_dis_1_occ_0004_img,False
pilot_it2_collision_yeet_tdw_1_dis_1_occ_0005_img,False
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0000_img,True
pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ_0004_img,False
pilot_it2_collision_simple_tdw_2_dis_2_occ_0007_img,False
pilot_it2_collision_simple_box_1_dis_1_occ_0005_img,True
pilot_it2_collision_assorted_targets_box_0005_img,False
pilot_it2_collision_simple_box_2_dis_2_occ_0007_img,True
pilot_it2_collision_yeet_box_0009_img,False
pilot_it2_collision_yeet_tdw_1_dis_1_occ_0008_img,False
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0009_img,True
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0002_img,False
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0007_img,False
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0014_img,False
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0016_img,True
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0013_img,True
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0014_img,True
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0000_img,False
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0011_img,False
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0002_img,False
pilot_towers_nb5_fr015_SJ030_mono0_dis0_occ0_boxroom_0016_img,True
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0015_img,True
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0009_img,True
pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom_0014_img,False
pilot_towers_nb4_fr015_SJ000_gr01_mono0_dis1_occ1_tdwroom_0010_img,False
pilot_towers_nb4_fr015_SJ000_gr01_mono0_dis1_occ1_tdwroom_0012_img,False
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0016_img,True
pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom_0018_img,False
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0012_img,False
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0011_img,True
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0002_img,False
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0008_img,False
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0016_img,True
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0001_img,True
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0016_img,True
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0004_img,True
pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom_0011_img,False
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0001_img,True
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0015_img,True
pilot_towers_nb4_fr015_SJ000_gr01_mono0_dis1_occ1_tdwroom_0017_img,False
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0016_img,True
pilot_towers_nb5_fr015_SJ030_mono0_dis0_occ0_boxroom_0005_img,True
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0019_img,False
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0012_img,False
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0018_img,False
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0001_img,False
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0015_img,False
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0005_img,False
pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom_0012_img,False
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0008_img,True
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0001_img,True
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0011_img,True
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0009_img,True
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0010_img,False
pilot_towers_nb4_fr015_SJ000_gr01_mono0_dis1_occ1_tdwroom_0015_img,False
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0011_img,False
pilot_towers_nb4_fr015_SJ000_gr01_mono0_dis1_occ1_tdwroom_0003_img,True
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0010_img,False
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0006_img,False
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0014_img,False
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0011_img,True
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0013_img,True
pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom_0000_img,False
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0012_img,True
pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom_0019_img,False
pilot_towers_nb5_fr015_SJ030_mono0_dis0_occ0_boxroom_0018_img,True
pilot_towers_nb5_fr015_SJ030_mono0_dis0_occ0_boxroom_0004_img,True
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0017_img,False
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0016_img,False
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0018_img,True
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0010_img,True
pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom_0001_img,False
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0002_img,False
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0007_img,True
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0014_img,False
pilot_towers_nb5_fr015_SJ030_mono0_dis0_occ0_boxroom_0007_img,True
pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom_0013_img,True
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0003_img,False
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0018_img,True
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0006_img,False
pilot_towers_nb4_fr015_SJ000_gr01_mono0_dis1_occ1_tdwroom_0008_img,False
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0001_img,True
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0008_img,False
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0008_img,False
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0003_img,True
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0009_img,True
pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom_0003_img,False
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0009_img,True
